cocktail_name,alcohol_concentration(%),total_volume(ml)
Texas Prairie Fire,24.4,32
The Adjustable Rate,16.2,101
The Blenheim,36.0,80
The Communist,18.0,82
The Coutesan,35.2,30
The Flirt,23.3,115
The French Pearl,25.3,95
The Hyp Fairy,42.9,38
The Modernista,33.4,94
The Monkey Gland,20.1,77
The Nirvana,0.0,125
The Phlump,35.8,56
The Raven,36.2,88
The Rickey,38.5,51
The Snow Honey,11.5,130
The Spy Who Loved Me,56.2,75
There Will Be Rum,0.0,1
Three Wise Men,38.7,30
Ti Punch,54.9,50
Tiger Tail,41.9,30
Tijuana Manhattan,33.4,71
